IID,Breed1,Breed1_%,Breed2,Breed2_%,Breed3,Breed3_%
T200_43,Tharparkar,39.02,Kankrej,21.6,Sahiwal,19.91
OG25_44,Ongole,88.55,Sahiwal,5.32,Kankrej,4.45
G327_30,Gir,80.19,Kankrej,9.93,Tharparkar,4.75
SW1137_64,Sahiwal,54.78,Unknown_Cluster5,29.06,Kankrej,6.44
T38_41,Kankrej,32.75,Sahiwal,25.74,Tharparkar,18.96
K930_53,Kankrej,98.08,Unknown_Cluster5,1.78,Ongole,0.12
SW103_33,Sahiwal,40.88,Kankrej,22.06,Tharparkar,19.33
G164_30,Kankrej,37.31,Gir,28.49,Sahiwal,14.99
SW68_33,Sahiwal,45.91,Kankrej,20.18,Tharparkar,18.48
SW999_62,Sahiwal,55.5,Unknown_Cluster5,25.88,Tharparkar,6.9
T570_73,Kankrej,31.1,Sahiwal,29.1,Tharparkar,20.56
G2746_26,Gir,93.67,Kankrej,2.44,Tharparkar,1.54
T472_55,Kankrej,29.91,Sahiwal,24.46,Tharparkar,24.31
G2725_26,Gir,60.46,Kankrej,17.44,Sahiwal,9.85
OG293_71,Ongole,77.49,Sahiwal,9.12,Kankrej,6.1
G1181_63,Gir,89.13,Kankrej,6.21,Sahiwal,2.31
G1109_58,Gir,41.0,Kankrej,32.79,Sahiwal,12.47
T249_43,Tharparkar,37.63,Kankrej,28.3,Sahiwal,18.98
SW988_62,Sahiwal,42.74,Kankrej,20.96,Tharparkar,15.84
G1018_53,Gir,88.14,Kankrej,4.65,Tharparkar,3.01
